Date,1a. open (GBP),1b. open (USD),2a. high (GBP),2b. high (USD),3a. low (GBP),3b. low (USD),4a. close (GBP),4b. close (USD),5. volume,6. market cap (USD)
09/08/2023,23441.22083,29770.41,23747.984,30160,23131.18996,29376.67,23292.85893,29581.99,38003.88725,38003.88725
08/08/2023,23000.78864,29211.06,23814.1256,30244,22949.91473,29146.45,23441.22871,29770.42,45700.53392,45700.53392
07/08/2023,22904.22978,29088.43,23052.53657,29276.78,22599.19102,28701.03,23000.78864,29211.06,30966.87746,30966.87746
06/08/2023,22891.39516,29072.13,22996.08787,29205.09,22828.20631,28991.88,22904.22191,29088.42,13178.1972,13178.1972
05/08/2023,22924.3636,29114,22954.4659,29152.23,22817.78114,28978.64,22891.39516,29072.13,11645.52018,11645.52018
04/08/2023,22987.08001,29193.65,23096.86719,29333.08,22683.057,28807.54,22924.35573,29113.99,23551.95217,23551.95217
03/08/2023,22981.0564,29186,23175.80404,29433.33,22809.4032,28968,22987.07214,29193.64,26476.91994,26476.91994
02/08/2023,23390.49653,29705.99,23659.4015,30047.5,22777.5135,28927.5,22981.06427,29186.01,48181.65141,48181.65141
01/08/2023,23017.48152,29232.26,23416.68545,29739.25,22508.38018,28585.7,23390.49653,29705.99,44719.65162,44719.65162
31/07/2023,23055.93027,29281.09,23251.922,29530,22914.75732,29101.8,23017.47365,29232.25,22605.48964,22605.48964
30/07/2023,23112.47346,29352.9,23188.1426,29449,22860.77318,29033.24,23055.93027,29281.09,15706.97441,15706.97441
29/07/2023,23081.95384,29314.14,23155.00881,29406.92,23036.31613,29256.18,23112.47346,29352.9,10851.36844,10851.36844
28/07/2023,23010.01697,29222.78,23261.54403,29542.22,22931.54469,29123.12,23081.95384,29314.14,23993.61627,23993.61627
27/07/2023,23111.72543,29351.95,23281.44163,29567.49,22900.62349,29083.85,23010.01697,29222.78,22476.47626,22476.47626
26/07/2023,23014.84373,29228.91,23377.906,29690,22910.93056,29096.94,23111.7333,29351.96,33931.63366,33931.63366
25/07/2023,22973.5761,29176.5,23130.6624,29376,22872.11961,29047.65,23014.84373,29228.91,21565.7478,21565.7478
24/07/2023,23687.94475,30083.75,23700.40929,30099.58,22725.86006,28861.9,22973.5761,29176.5,39628.99691,39628.99691
23/07/2023,23459.78773,29793.99,23897.59,30350,23409.402,29730,23687.94475,30083.75,18292.78637,18292.78637
22/07/2023,23544.61433,29901.72,23621.2126,29999,23326.80374,29625.1,23459.7956,29794,14660.40467,14660.40467
21/07/2023,23464.52,29800,23670.58258,30061.7,23406.52012,29726.34,23544.61433,29901.72,23881.40865,23881.40865
20/07/2023,23550.51195,29909.21,23950.708,30417.46,23284.1739,29570.96,23464.52,29800,37540.68193,37540.68193
19/07/2023,23511.08684,29859.14,23770.88947,30189.09,23434.5673,29761.96,23550.51195,29909.21,25657.36137,25657.36137
18/07/2023,23730.66907,30138.01,23810.80277,30239.78,23237.7488,29512,23511.07896,29859.13,30003.8601,30003.8601
